Title,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Haggis ,1127,2010,4344,6.9926,6.52841,1.35756,2.1116,215,19789,4,2,3,2,2.0,94,Strategy ,646,6.6282,"Betting and Bluffing
Hand Management
Ladder Climbing
Trick-taking
",Unknown,,,,,,
China ,1128,2005,4480,6.98049,6.52773,1.17732,2.2848,488,11927,0,3,5,3,3.0,96,Strategy ,644,6.62916,"Area Majority / Influence
End Game Bonuses
Hand Management
Network and Route Building
Open Drafting
",$69.00,,,,,,
Coconuts ,1129,2013,4351,7.03072,6.52699,1.2963,1.039,154,37308,4,2,4,4,4.0,49,Children's ,12,6.88651,"Push Your Luck
Take That
",Unknown,Family ,292,6.63897,,,
Kingdomino Origins ,1130,2021,1956,7.57734,6.52692,1.04907,1.9302,43,7477,2,2,4,2,2.0,24,Family ,236,6.72848,"Open Drafting
Tile Placement
",$27.99,,,,,,
Shadow Hunters ,1131,2005,8682,6.82259,6.52639,1.51611,1.8215,493,39547,2,5,8,7,8.0,165,Party ,84,6.57482,"Dice Rolling
Hidden Roles
Player Elimination
Team-Based Game
Variable Player Powers
",Unknown,,,,,,
Batman: Gotham City Chronicles ,1132,2019,2533,7.6344,6.52634,1.78184,3.7436,117,6881,2,2,4,2,2.0,63,Thematic,196,6.81817,"Action Points
Action Queue
Area Movement
Dice Rolling
Line of Sight
Scenario / Mission / Campaign Game
",Unknown,,,,,,
Insider ,1133,2016,3886,7.05412,6.52445,1.29785,1.127,63,31113,1,4,8,6,6.0,50,Party ,52,6.79884,"Hidden Roles
Team-Based Game
Voting
",$22.95,,,,,,
Animal Upon Animal ,1134,2005,8280,6.78937,6.52312,1.1828,1.0402,398,53678,7,2,4,4,4.0,112,Children's ,22,6.71831,"Dice Rolling
Stacking and Balancing
",$24.99,,,,,,
Eight-Minute Empire: Legends ,1135,2013,5144,6.92534,6.52291,1.15447,1.9797,197,11034,1,2,4,4,4.0,69,Strategy ,667,6.60361,"Area Majority / Influence
Area Movement
Auction: Dutch
Modular Board
Multiple Maps
Open Drafting
",Unknown,Family ,313,6.61565,,,
Stella: Dixit Universe ,1136,2021,2684,7.31218,6.52132,1.24006,1.1475,61,13777,6,3,6,5,6.0,40,Party ,41,6.91157,"Deduction
Push Your Luck
",$21.83,Family ,267,6.67946,,,
