Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Innovation ,2010,17859,7.29171,7.08992,1.60903,2.7598,945,129950,Strategy Games,1,2,3,2,2.0,527,,,,
Ghost Stories ,2008,20965,7.27602,7.08892,1.42286,2.9039,1041,67305,Strategy Games,1,1,4,4,4.0,376,,,,
Agricola: All Creatures Big and Small ,2012,13524,7.34346,7.08835,1.22443,2.3492,590,45336,Strategy Games,1,2,2,2,2.0,135,,,,
The Resistance ,2009,39925,7.22509,7.08776,1.47181,1.5949,1543,162190,Party Games,1,5,10,7,7.0,485,,,,
51st State: Master Set ,2016,6624,7.60982,7.08763,1.30723,2.8957,230,22050,Strategy Games,1,1,4,2,2.0,170,,,,
Gizmos ,2018,11657,7.39087,7.08719,1.14551,2.0094,212,69575,Family Games,1,2,4,3,3.0,128,Strategy Games,1,,
Altiplano ,2017,8775,7.48034,7.08571,1.26535,3.2997,297,26084,Strategy Games,1,2,4,3,3.0,168,,,,
Imperium: Classics ,2021,5592,7.72411,7.08498,1.41672,3.5642,296,24309,Strategy Games,1,1,2,1,2.0,284,,,,
Ginkgopolis ,2012,7436,7.50795,7.08391,1.27594,2.9075,389,31550,Strategy Games,1,1,4,2,3.0,205,,,,
Skull King ,2013,8505,7.50234,7.08385,1.32489,1.6866,201,58979,Family Games,1,3,6,5,6.0,147,,,,
Tiletum ,2022,3708,7.97926,7.08306,1.18393,3.4091,198,11481,Strategy Games,1,1,3,2,3.0,172,,,,
Mage Wars Arena ,2012,7815,7.58822,7.08126,1.61557,3.6816,534,15435,Customizable Games,1,2,2,2,2.0,149,,,,
Raiders of Scythia ,2020,4781,7.78753,7.07665,1.18136,2.7198,182,12380,Strategy Games,1,1,4,3,3.0,159,,,,
San Juan ,2004,23514,7.23472,7.07638,1.17781,2.2858,2061,102689,Strategy Games,1,2,4,3,3.0,352,,,,
Blood Bowl: Team Manager – The Card Game ,2011,11223,7.38923,7.07499,1.31613,2.3333,627,26311,Thematic Games,1,2,4,4,4.0,233,,,,
